Session Title,Number of Encounters by State of Residence (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID,2726378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Model,Encounters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Base,All Encounters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Date Range,1/6/2019 - 1/4/2020 (Based On Encounter Start Date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,Number of Encounters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export User,Stephanie Perniciaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Export,4/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 – 2025
,Jan 6 – Jan 12,Jan 13 – Jan 19,Jan 20 – Jan 26,Jan 27 – Feb 2,Feb 3 – Feb 9,Feb 10 – Feb 16,Feb 17 – Feb 23,Feb 24 – Mar 2,Mar 3 – Mar 9,Mar 10 – Mar 16,Mar 17 – Mar 23,Mar 24 – Mar 30,Mar 31 – Apr 6,Apr 7 – Apr 13,Apr 14 – Apr 20,Apr 21 – Apr 27,Apr 28 – May 4,May 5 – May 11,May 12 – May 18,May 19 – May 25,May 26 – Jun 1,Jun 2 – Jun 8,Jun 9 – Jun 15,Jun 16 – Jun 22,Jun 23 – Jun 29,Jun 30 – Jul 6,Jul 7 – Jul 13,Jul 14 – Jul 20,Jul 21 – Jul 27,Jul 28 – Aug 3,Aug 4 – Aug 10,Aug 11 – Aug 17,Aug 18 – Aug 24,Aug 25 – Aug 31,Sep 1 – Sep 7,Sep 8 – Sep 14,Sep 15 – Sep 21,Sep 22 – Sep 28,Sep 29 – Oct 5,Oct 6 – Oct 12,Oct 13 – Oct 19,Oct 20 – Oct 26,Oct 27 – Nov 2,Nov 3 – Nov 9,Nov 10 – Nov 16,Nov 17 – Nov 23,Nov 24 – Nov 30,Dec 1 – Dec 7,Dec 8 – Dec 14,Dec 15 – Dec 21,Dec 22 – Dec 28,Dec 29 – Jan 4,Jan 6 – Jan 12,Jan 13 – Jan 19,Jan 20 – Jan 26,Jan 27 – Feb 2,Feb 3 – Feb 9,Feb 10 – Feb 16,Feb 17 – Feb 23,Feb 24 – Mar 1,Mar 2 – Mar 8,Mar 9 – Mar 15,Mar 16 – Mar 22,Mar 23 – Mar 29,Mar 30 – Apr 5,Apr 6 – Apr 12,Apr 13 – Apr 19,Apr 20 – Apr 26,Apr 27 – May 3,May 4 – May 10,May 11 – May 17,May 18 – May 24,May 25 – May 31,Jun 1 – Jun 7,Jun 8 – Jun 14,Jun 15 – Jun 21,Jun 22 – Jun 28,Jun 29 – Jul 5,Jul 6 – Jul 12,Jul 13 – Jul 19,Jul 20 – Jul 26,Jul 27 – Aug 2,Aug 3 – Aug 9,Aug 10 – Aug 16,Aug 17 – Aug 23,Aug 24 – Aug 30,Aug 31 – Sep 6,Sep 7 – Sep 13,Sep 14 – Sep 20,Sep 21 – Sep 27,Sep 28 – Oct 4,Oct 5 – Oct 11,Oct 12 – Oct 18,Oct 19 – Oct 25,Oct 26 – Nov 1,Nov 2 – Nov 8,Nov 9 – Nov 15,Nov 16 – Nov 22,Nov 23 – Nov 29,Nov 30 – Dec 6,Dec 7 – Dec 13,Dec 14 – Dec 20,Dec 21 – Dec 27,Dec 28 – Jan 2,Jan 3 – Jan 9,Jan 10 – Jan 16,Jan 17 – Jan 23,Jan 24 – Jan 30,Jan 31 – Feb 6,Feb 7 – Feb 13,Feb 14 – Feb 20,Feb 21 – Feb 27,Feb 28 – Mar 6,Mar 7 – Mar 13,Mar 14 – Mar 20,Mar 21 – Mar 27,Mar 28 – Apr 3,Apr 4 – Apr 10,Apr 11 – Apr 17,Apr 18 – Apr 24,Apr 25 – May 1,May 2 – May 8,May 9 – May 15,May 16 – May 22,May 23 – May 29,May 30 – Jun 5,Jun 6 – Jun 12,Jun 13 – Jun 19,Jun 20 – Jun 26,Jun 27 – Jul 3,Jul 4 – Jul 10,Jul 11 – Jul 17,Jul 18 – Jul 24,Jul 25 – Jul 31,Aug 1 – Aug 7,Aug 8 – Aug 14,Aug 15 – Aug 21,Aug 22 – Aug 28,Aug 29 – Sep 4,Sep 5 – Sep 11,Sep 12 – Sep 18,Sep 19 – Sep 25,Sep 26 – Oct 2,Oct 3 – Oct 9,Oct 10 – Oct 16,Oct 17 – Oct 23,Oct 24 – Oct 30,Oct 31 – Nov 6,Nov 7 – Nov 13,Nov 14 – Nov 20,Nov 21 – Nov 27,Nov 28 – Dec 4,Dec 5 – Dec 11,Dec 12 – Dec 18,Dec 19 – Dec 25,Dec 26 – Jan 1,Jan 2 – Jan 8,Jan 9 – Jan 15,Jan 16 – Jan 22,Jan 23 – Jan 29,Jan 30 – Feb 5,Feb 6 – Feb 12,Feb 13 – Feb 19,Feb 20 – Feb 26,Feb 27 – Mar 5,Mar 6 – Mar 12,Mar 13 – Mar 19,Mar 20 – Mar 26,Mar 27 – Apr 2,Apr 3 – Apr 9,Apr 10 – Apr 16,Apr 17 – Apr 23,Apr 24 – Apr 30,May 1 – May 7,May 8 – May 14,May 15 – May 21,May 22 – May 28,May 29 – Jun 4,Jun 5 – Jun 11,Jun 12 – Jun 18,Jun 19 – Jun 25,Jun 26 – Jul 2,Jul 3 – Jul 9,Jul 10 – Jul 16,Jul 17 – Jul 23,Jul 24 – Jul 30,Jul 31 – Aug 6,Aug 7 – Aug 13,Aug 14 – Aug 20,Aug 21 – Aug 27,Aug 28 – Sep 3,Sep 4 – Sep 10,Sep 11 – Sep 17,Sep 18 – Sep 24,Sep 25 – Oct 1,Oct 2 – Oct 8,Oct 9 – Oct 15,Oct 16 – Oct 22,Oct 23 – Oct 29,Oct 30 – Nov 5,Nov 6 – Nov 12,Nov 13 – Nov 19,Nov 20 – Nov 26,Nov 27 – Dec 3,Dec 4 – Dec 10,Dec 11 – Dec 17,Dec 18 – Dec 24,Dec 25 – Dec 31,Jan 1 – Jan 7,Jan 8 – Jan 14,Jan 15 – Jan 21,Jan 22 – Jan 28,Jan 29 – Feb 4,Feb 5 – Feb 11,Feb 12 – Feb 18,Feb 19 – Feb 25,Feb 26 – Mar 4,Mar 5 – Mar 11,Mar 12 – Mar 18,Mar 19 – Mar 25,Mar 26 – Apr 1,Apr 2 – Apr 8,Apr 9 – Apr 15,Apr 16 – Apr 22,Apr 23 – Apr 29,Apr 30 – May 6,May 7 – May 13,May 14 – May 20,May 21 – May 27,May 28 – Jun 3,Jun 4 – Jun 10,Jun 11 – Jun 17,Jun 18 – Jun 24,Jun 25 – Jul 1,Jul 2 – Jul 8,Jul 9 – Jul 15,Jul 16 – Jul 22,Jul 23 – Jul 29,Jul 30 – Aug 5,Aug 6 – Aug 12,Aug 13 – Aug 19,Aug 20 – Aug 26,Aug 27 – Sep 2,Sep 3 – Sep 9,Sep 10 – Sep 16,Sep 17 – Sep 23,Sep 24 – Sep 30,Oct 1 – Oct 7,Oct 8 – Oct 14,Oct 15 – Oct 21,Oct 22 – Oct 28,Oct 29 – Nov 4,Nov 5 – Nov 11,Nov 12 – Nov 18,Nov 19 – Nov 25,Nov 26 – Dec 2,Dec 3 – Dec 9,Dec 10 – Dec 16,Dec 17 – Dec 23,Dec 24 – Dec 30,Dec 31 – Jan 6,Jan 7 – Jan 13,Jan 14 – Jan 20,Jan 21 – Jan 27,Jan 28 – Feb 3,Feb 4 – Feb 10,Feb 11 – Feb 17,Feb 18 – Feb 24,Feb 25 – Mar 2,Mar 3 – Mar 9,Mar 10 – Mar 16,Mar 17 – Mar 23,Mar 24 – Mar 30,Mar 31 – Apr 6,Apr 7 – Apr 13,Apr 14 – Apr 20,Apr 21 – Apr 27,Apr 28 – May 4,May 5 – May 11,May 12 – May 18,May 19 – May 25,May 26 – Jun 1,Jun 2 – Jun 8,Jun 9 – Jun 15,Jun 16 – Jun 22,Jun 23 – Jun 29,Jun 30 – Jul 6,Jul 7 – Jul 13,Jul 14 – Jul 20,Jul 21 – Jul 27,Jul 28 – Aug 3,Aug 4 – Aug 10,Aug 11 – Aug 17,Aug 18 – Aug 24,Aug 25 – Aug 31,Sep 1 – Sep 7,Sep 8 – Sep 14,Sep 15 – Sep 21,Sep 22 – Sep 28,Sep 29 – Oct 5,Oct 6 – Oct 12,Oct 13 – Oct 19,Oct 20 – Oct 26,Oct 27 – Nov 2,Nov 3 – Nov 9,Nov 10 – Nov 16,Nov 17 – Nov 23,Nov 24 – Nov 30,Dec 1 – Dec 7,Dec 8 – Dec 14,Dec 15 – Dec 21,Dec 22 – Dec 28,Dec 29 – Jan 4
State of Residence (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,63244,60542,59640,58855,64365,63646,66590,65658,67721,72170,69388,66959,65665,66610,64294,64852,65165,66004,65406,67058,67087,65331,64154,64412,65859,64558,67625,65679,64687,65305,65116,64882,65607,66205,68462,70194,69199,68590,66522,64880,64508,65590,63595,63563,62739,65886,62679,67978,67660,67658,73165,74795,69185,65690,67747,70305,69303,66385,67418,65350,67354,66256,47616,39236,34552,33403,33982,36925,39464,39222,42867,45965,48876,50006,52476,53099,55488,56199,58398,57762,56431,55007,54624,56776,55517,55388,54879,55750,54516,56239,55034,57876,56136,55604,54968,58214,59652,57502,54945,54339,55526,52824,49331,46497,54804,52686,52746,52735,52221,50352,48498,54361,54393,56127,56354,59207,57173,61709,63354,61163,63613,62836,61158,64868,64235,62848,66093,64870,65042,64630,67226,66581,67938,69540,68859,70421,71451,75274,77445,79464,76802,70209,70123,71095,72799,68362,67541,68063,71950,71028,67217,76354,74397,76724,72515,84307,77270,68659,61266,58439,52650,61739,60584,60943,62950,64267,66695,66478,65074,67287,67166,66633,69891,69397,72876,73393,71329,71672,70499,71509,71794,71524,72690,73970,73652,74056,73579,73310,72616,74852,75747,76787,76349,74450,71057,73798,75652,74584,78949,82351,82029,78274,79426,86326,82205,78843,66697,72444,75731,69922,69603,67986,69752,74076,74231,74907,74746,74383,75185,76107,75002,72962,75176,76059,75062,74292,77224,76423,76107,76620,75757,73541,74047,72982,73629,75711,75017,74556,74738,75208,74839,76740,77886,81905,79954,79639,80432,86201,82812,82845,84883,81723,85712,85761,80835,88683,89435,88353,88326,93289,90118,85377,77135,86206,87043,90031,88071,91180,89840,89860,87076,84209,83969,83212,85033,86435,84562,88998,87026,88085,89332,86235,85851,84088,85791,85794,82923,87882,85835,85443,85166,86677,85572,85147,90183,89010,90480,91144,88274,86922,86538,85327,89522,87529,89288,86830,87657,80976,85804,88848,90153,91634,93599
Texas,31649,30754,31411,33612,38470,36814,36036,35077,35605,35231,36864,35952,34909,35098,33930,35013,34521,33829,33975,34963,34436,35027,34806,34559,33884,33161,34729,35082,34578,34769,34563,34430,36496,39074,43906,46199,45574,46526,46101,44414,44678,44849,43371,47049,45923,49802,46344,48872,47111,46609,50240,49299,46300,46625,46733,47168,48215,46540,46944,46245,46143,45259,36771,29282,24887,24857,24392,26603,27935,28718,29786,31532,32258,33414,35417,37180,39072,40867,41029,40536,39011,38445,39144,39286,38764,39484,39658,40022,41400,41496,41855,44088,43629,42859,40212,43535,45374,43185,40058,41893,42073,41796,42745,38865,45694,42260,43667,44660,43855,41083,36450,44201,42798,44541,43821,46169,46249,49585,49961,48746,50202,50351,49171,49821,49967,50509,51973,51888,52005,51635,52740,53251,55305,57192,55986,54803,53939,58298,58987,57726,57048,55082,54350,54378,53812,54103,53622,52750,55461,56477,51674,57955,56476,56864,58742,71581,63200,60394,54372,52391,45954,51561,52031,51125,55483,54111,55066,55493,56201,56543,56118,56484,56552,56579,58167,59303,57083,58612,58904,58671,58774,57706,59262,58675,58085,58053,57171,56369,57632,60273,63066,63459,63719,63950,62944,63271,64783,63559,64614,68163,68203,63943,64132,67985,65384,60929,54538,62202,62102,58560,58779,57874,51672,58432,58071,60138,60869,62806,59694,63382,63165,61522,64624,63936,62986,64897,64302,64003,63750,64262,62773,61948,62333,62580,60583,62169,61571,62003,61849,62711,63108,67151,68187,68260,64734,66486,66531,65135,64003,65106,66330,63264,69513,67877,62568,66723,67874,68000,69894,68093,67956,64456,59341,68222,71795,70092,65534,66684,66033,65949,63281,64546,64223,66524,65605,66773,66564,66374,67506,67414,68414,67233,67422,67342,66327,67390,65811,68123,66152,65321,66382,66926,67746,70418,70336,69308,70111,70748,69192,70047,69454,68138,70360,69734,69146,71122,70720,65351,70214,70625,72975,73451,74506
Florida,24795,24318,24406,24856,27016,26475,26642,25824,26130,27313,25845,25590,25725,26202,25331,25555,25820,25532,25434,25631,25652,24798,24181,24595,24838,23931,24822,24377,23850,23853,24012,23634,24968,25362,26085,25553,25106,25862,25972,26090,26053,26275,26561,26832,26191,26542,25634,26118,26337,25956,26680,27276,26677,26686,26033,27018,27487,26697,26489,25377,26196,25662,20588,15476,12936,12057,12520,12932,13539,13916,14801,15568,15970,16613,18381,20119,23471,24095,25120,22462,20799,19713,19640,18536,18439,18914,18868,19142,19434,19462,19564,20616,20184,19888,20198,19934,20719,20358,19533,20064,19920,20455,19304,18376,21539,20192,20661,21546,24283,25582,25186,25899,26080,25823,26367,26581,27318,28160,29370,29353,32141,31777,31358,31688,32046,31680,31635,31415,31582,31794,33457,34876,36867,38068,38448,37712,37868,37148,35645,34340,32959,32729,32486,32789,32847,32570,32385,32811,33136,32964,31427,33472,34521,35348,36233,44571,41289,35090,31081,29487,29946,30173,30643,31640,31391,38757,38177,38671,39690,40380,41069,42340,43194,43606,45261,47640,48519,48090,48421,47848,46251,45406,46835,46396,46300,56388,61367,61047,62547,64827,65597,66344,65935,66413,59536,63991,63615,64358,67844,73143,71333,70985,66279,73264,80637,80384,75523,79995,83026,75090,75054,76910,78067,78850,76758,79019,79348,79219,75309,77321,78071,77064,76460,79174,81071,80772,80232,80161,78722,78887,78152,76890,75092,77187,76174,77145,76835,76232,76861,79164,79748,83254,80304,84236,82490,81437,81694,83280,82892,82738,84662,84282,85642,84839,79257,84140,84274,83889,83137,83829,84016,82285,79564,82666,82760,84648,83659,81872,84385,85914,83126,81947,81107,82196,82797,83732,83449,83730,83986,83620,83510,83425,81817,79781,79583,79609,79689,82674,80966,80034,78488,77670,79818,82539,83818,84859,84378,85201,81149,84939,76416,82348,84064,86495,89939,90381,88321,83376,87567,90242,93748,91836,93753
Pennsylvania,35216,34055,34770,33518,36518,34803,34701,34731,35300,37343,36845,36880,36124,36413,35347,35208,35267,35610,35026,36571,36122,35792,34923,35058,35279,34378,35871,35224,35447,35183,36469,36253,36401,35689,37015,37559,37891,38427,38752,38242,37983,38450,37965,37414,37532,38730,36643,38412,39193,38249,40243,42776,41081,40140,41466,41981,42176,40718,41105,40587,40604,39924,30153,24779,22322,21469,21628,22293,24089,24177,25658,26837,28565,29038,30496,30793,32498,32666,33632,33273,33665,33844,33335,34314,33523,34023,33656,34133,32882,33557,34207,34054,33379,34417,33508,35318,36468,35439,33861,34498,33521,31219,31159,28660,33966,33031,33044,32094,31033,32549,32439,34700,36924,38340,38308,40602,40640,42633,44120,43371,43990,42894,42622,44091,44071,43693,45883,45177,45150,45710,46385,46687,46945,47154,46900,46962,46794,47444,46767,48620,49927,48251,48272,48685,47612,46285,45506,45208,46517,46352,43659,47746,46756,46675,46846,53916,48573,41928,38904,37749,37356,40693,40333,40623,41630,41857,44191,43799,43687,44644,44528,44313,45352,46416,47535,48639,48483,47315,47744,46504,45822,46289,47133,47222,46922,47271,47140,47279,46328,46621,46251,47329,47879,48272,46612,46720,47929,48185,50237,53255,53468,50702,50544,54565,52615,50477,47583,50330,52234,48868,48258,48016,48126,50413,50930,51055,50453,49856,50126,51163,50332,48831,50585,51335,49892,49700,51462,51017,50863,51216,50357,50194,50128,50719,50892,51508,51365,51065,50495,51121,51348,50783,50814,52559,52690,51778,51104,53031,50297,51250,52063,50495,52051,52639,50028,53362,54104,54530,54879,56364,54118,51951,47448,51510,51778,53044,51188,54034,53215,53292,53552,52216,51343,51401,53052,53454,51514,53364,53331,52717,54056,53153,53452,52035,52355,52907,50744,53783,52749,51790,51856,51601,51863,51100,52457,52625,53453,54265,52700,52998,52644,52295,54149,52776,52575,52013,53099,49584,52107,53672,54050,55118,57280
North Carolina,35742,35053,35851,36864,41564,38811,37828,37000,36691,37982,37537,37370,36001,37189,35741,36110,37752,40362,40107,40626,40578,38665,38064,38845,38588,37096,38797,38545,37683,37582,38165,38010,37737,38084,39488,41015,40259,40878,40348,39671,38439,38886,38963,37991,37219,38689,37043,40284,40046,40819,42797,45006,42221,42020,41591,43047,45428,43010,40492,40438,41022,40339,31237,25556,21742,21514,21651,22682,23839,24355,26147,27157,28651,28971,30518,29870,31825,31832,32904,32989,32633,33058,32125,32549,32519,33075,33014,33562,32632,32456,33332,34168,33403,33800,32901,32594,34184,33162,32178,33313,33111,31705,30786,29383,33346,32205,32152,31007,30998,31116,30616,31551,32070,33037,32293,34340,33327,35444,37305,36569,37242,37059,36229,37940,38911,38177,38910,39834,38871,39223,40042,40858,41074,42373,42412,42625,41371,42219,42081,42289,40815,39355,38568,38209,37470,37196,36664,36196,36800,36867,34661,39851,39633,38983,37621,49550,46483,42291,35436,35488,34466,34161,34339,35371,35238,35939,36964,37676,37537,39118,39503,38686,40354,40650,41082,43162,42033,42617,41409,40950,40381,40011,40783,40979,41632,43555,43061,42583,41282,41378,42226,44100,44589,44650,41949,44492,45167,45129,49532,52604,50152,45670,43864,47598,45008,43718,41239,44514,46655,42520,42470,41701,42315,44333,44203,44249,43620,43775,43907,45820,45282,43932,43623,45015,44108,44734,45120,45309,44679,44956,44658,44842,43894,44322,44222,44623,44746,44597,43975,44970,45362,45689,44586,47729,47729,46645,46597,46990,46008,45568,46586,46213,48205,48662,46092,50185,51383,51838,53220,54628,49828,46169,44613,46892,46843,48009,47949,47700,47769,48117,47809,47801,46272,47063,47802,48177,46759,48691,51042,50196,50797,50446,50077,49847,49455,49848,48599,50475,49515,48918,49799,48786,50982,49877,51204,51955,51719,52008,50927,51613,50803,49498,51508,51312,52177,51012,51627,48364,50946,52291,53771,52572,56259
Virginia,33347,32513,33322,33381,36682,35503,35621,34802,35310,37519,35802,35319,34306,34864,33222,34283,34395,34552,34184,35564,35313,34151,33499,33962,33450,32853,33972,33415,33172,32752,32775,32524,32698,32341,33237,34486,34578,35078,34439,33510,32837,32952,32831,32348,32496,34032,32808,34925,35022,34631,37065,38609,35112,34113,34199,35177,37276,35947,35377,35344,34770,34496,26751,21755,18257,17886,18219,19383,20467,21172,22256,22451,23804,24182,25386,25118,26752,27254,29406,29506,28125,28184,27643,27497,28007,28051,27968,27780,28043,28557,30279,30595,30573,30203,29788,29891,31170,29953,29482,30139,29625,28834,27933,26843,31030,29805,29808,28939,28938,28144,28318,29909,29696,30358,30248,31540,30527,32301,33109,32673,33134,33063,32503,33999,34546,33896,34821,35012,35572,35323,35481,36569,36164,36950,37102,37698,38022,38819,37753,38322,38579,37344,37415,37107,36414,35326,35031,33713,35325,34964,32581,36817,37935,38454,39482,52105,43892,38348,32494,33089,32390,33709,33753,34755,34902,35039,36508,36683,35889,36868,36903,37063,38792,38996,40040,42082,41192,42168,42106,40969,40378,40873,40932,40948,41298,40930,40962,40820,40235,40876,40720,41631,41889,42313,40962,41383,42565,43443,45733,49482,48633,44349,43783,45806,43104,41293,38630,41296,43671,39657,40339,40412,40523,42484,41546,42256,41941,41331,41839,42905,41929,40547,41567,42980,42067,42729,43416,42800,43101,43076,43099,43646,42509,42232,42139,42884,42591,42487,41774,42946,43171,43502,43730,45598,44968,43997,43989,44907,44196,44032,45284,44636,47341,47625,44486,48614,49139,49228,50263,52125,48958,47347,42711,46367,45925,47295,47001,48351,48289,48001,48037,46960,45467,45348,46630,47828,46182,47468,47528,47014,48068,47198,46911,46926,46440,46607,44848,46994,46342,46247,46172,46128,47404,47218,47395,48011,48463,48381,48172,47612,48078,47401,49458,48383,48745,48185,49315,46103,48320,49952,50537,49435,52554
