"","st","agec2","year","N_IPD"
"2155","4","5-49 years",2013,17
"2156","4","5-49 years",2014,11
"2157","4","5-49 years",2015,15
"2158","4","5-49 years",2016,19
"2159","4","5-49 years",2017,28
"2160","4","5-49 years",2018,63
"2161","4","5-49 years",2019,35
"2162","4","5-49 years",2020,41
"2163","4","5-49 years",2021,52
"2164","4","5-49 years",2022,103
"2165","4","50+ years",1998,158
"2166","4","50+ years",1999,163
"2167","4","50+ years",2000,171
"2168","4","50+ years",2001,169
"2169","4","50+ years",2002,131
"2170","4","50+ years",2003,112
"2171","4","50+ years",2004,106
"2172","4","50+ years",2005,77
"2173","4","50+ years",2006,56
"2174","4","50+ years",2007,46
"2175","4","50+ years",2008,30
"2176","4","50+ years",2009,22
"2177","4","50+ years",2010,17
"2178","4","50+ years",2011,21
"2179","4","50+ years",2012,11
"2180","4","50+ years",2013,16
"2181","4","50+ years",2014,26
"2182","4","50+ years",2015,21
"2183","4","50+ years",2016,22
"2184","4","50+ years",2017,36
"2185","4","50+ years",2018,43
"2186","4","50+ years",2019,41
"2187","4","50+ years",2020,37
"2188","4","50+ years",2021,35
"2189","4","50+ years",2022,80
"2190","41A","50+ years",2003,1
"2191","43","50+ years",2008,1
"2192","45","50+ years",2019,1
"2193","47F","5-49 years",2008,1
"2194","5","<5 years",1998,1
"2195","5","<5 years",1999,1
"2196","5","<5 years",2000,1
"2197","5","<5 years",2001,1
"2198","5","<5 years",2004,1
"2199","5","<5 years",2005,1
"2200","5","<5 years",2008,2
"2201","5","<5 years",2009,2
"2202","5","5-49 years",1998,2
"2203","5","5-49 years",1999,2
"2204","5","5-49 years",2000,4
"2205","5","5-49 years",2001,14
"2206","5","5-49 years",2002,16
"2207","5","5-49 years",2003,5
"2208","5","5-49 years",2004,9
"2209","5","5-49 years",2005,2
"2210","5","5-49 years",2006,1
"2211","5","5-49 years",2007,2
"2212","5","5-49 years",2008,3
"2213","5","5-49 years",2009,1
"2214","5","5-49 years",2010,1
"2215","5","5-49 years",2013,3
"2216","5","50+ years",1998,1
"2217","5","50+ years",1999,4
"2218","5","50+ years",2000,5
"2219","5","50+ years",2001,7
"2220","5","50+ years",2002,8
"2221","5","50+ years",2003,3
"2222","5","50+ years",2004,5
"2223","5","50+ years",2005,2
"2224","5","50+ years",2006,3
"2225","5","50+ years",2007,2
"2226","5","50+ years",2008,3
"2227","5","50+ years",2010,3
"2228","5","50+ years",2012,1
"2229","5","50+ years",2014,1
"2230","5","50+ years",2017,1
"2231","6A","<5 years",1998,44
"2232","6A","<5 years",1999,54
"2233","6A","<5 years",2000,45
"2234","6A","<5 years",2001,36
"2235","6A","<5 years",2002,13
"2236","6A","<5 years",2003,24
"2237","6A","<5 years",2004,8
"2238","6A","<5 years",2005,3
"2239","6A","<5 years",2006,7
"2240","6A","<5 years",2007,3
"2241","6A","<5 years",2008,2
"2242","6A","<5 years",2010,1
"2243","6A","5-49 years",1998,43
"2244","6A","5-49 years",1999,38
"2245","6A","5-49 years",2000,51
"2246","6A","5-49 years",2001,51
"2247","6A","5-49 years",2002,56
"2248","6A","5-49 years",2003,52
"2249","6A","5-49 years",2004,30
"2250","6A","5-49 years",2005,26
"2251","6A","5-49 years",2006,30
"2252","6A","5-49 years",2007,20
"2253","6A","5-49 years",2008,16
"2254","6A","5-49 years",2009,11
"2255","6A","5-49 years",2010,5
"2256","6A","5-49 years",2011,1
"2257","6A","5-49 years",2012,4
"2258","6A","5-49 years",2015,1
"2259","6A","5-49 years",2016,1
"2260","6A","5-49 years",2018,1
"2261","6A","5-49 years",2022,1
"2262","6A","50+ years",1998,68
"2263","6A","50+ years",1999,93
"2264","6A","50+ years",2000,88
"2265","6A","50+ years",2001,80
"2266","6A","50+ years",2002,98
"2267","6A","50+ years",2003,95
"2268","6A","50+ years",2004,87
"2269","6A","50+ years",2005,62
"2270","6A","50+ years",2006,63
"2271","6A","50+ years",2007,59
"2272","6A","50+ years",2008,49
"2273","6A","50+ years",2009,53
"2274","6A","50+ years",2010,33
"2275","6A","50+ years",2011,6
"2276","6A","50+ years",2012,8
"2277","6A","50+ years",2013,3
"2278","6A","50+ years",2014,2
"2279","6A","50+ years",2015,2
"2280","6A","50+ years",2016,3
"2281","6A","50+ years",2017,3
"2282","6A","50+ years",2018,2
"2283","6A","50+ years",2019,4
"2284","6A","50+ years",2021,1
"2285","6A","50+ years",2022,2
"2286","6B","<5 years",1998,100
"2287","6B","<5 years",1999,111
"2288","6B","<5 years",2000,113
"2289","6B","<5 years",2001,66
"2290","6B","<5 years",2002,35
"2291","6B","<5 years",2003,14
"2292","6B","<5 years",2004,4
"2293","6B","<5 years",2005,4
"2294","6B","<5 years",2006,1
"2295","6B","<5 years",2008,1
"2296","6B","<5 years",2010,1
"2297","6B","<5 years",2016,1
"2298","6B","5-49 years",1998,61
"2299","6B","5-49 years",1999,44
"2300","6B","5-49 years",2000,61
"2301","6B","5-49 years",2001,54
"2302","6B","5-49 years",2002,48
"2303","6B","5-49 years",2003,25
"2304","6B","5-49 years",2004,25
"2305","6B","5-49 years",2005,7
"2306","6B","5-49 years",2006,5
"2307","6B","5-49 years",2007,3
"2308","6B","5-49 years",2008,9
"2309","6B","5-49 years",2009,1
"2310","6B","5-49 years",2010,2
"2311","6B","5-49 years",2011,1
"2312","6B","5-49 years",2012,1
"2313","6B","5-49 years",2013,1
"2314","6B","5-49 years",2016,2
"2315","6B","5-49 years",2018,1
"2316","6B","50+ years",1998,118
"2317","6B","50+ years",1999,110
"2318","6B","50+ years",2000,128
"2319","6B","50+ years",2001,120
"2320","6B","50+ years",2002,88
"2321","6B","50+ years",2003,63
"2322","6B","50+ years",2004,38
"2323","6B","50+ years",2005,39
"2324","6B","50+ years",2006,22
"2325","6B","50+ years",2007,20
"2326","6B","50+ years",2008,19
"2327","6B","50+ years",2009,13
"2328","6B","50+ years",2010,4
"2329","6B","50+ years",2011,2
"2330","6B","50+ years",2012,3
"2331","6B","50+ years",2013,3
"2332","6B","50+ years",2014,7
"2333","6B","50+ years",2015,5
"2334","6B","50+ years",2016,3
"2335","6B","50+ years",2017,6
"2336","6B","50+ years",2018,4
"2337","6B","50+ years",2019,3
"2338","6B","50+ years",2020,2
"2339","6B","50+ years",2021,3
"2340","6C","<5 years",1998,1
"2341","6C","<5 years",2000,2
"2342","6C","<5 years",2001,2
"2343","6C","<5 years",2003,4
"2344","6C","<5 years",2004,7
"2345","6C","<5 years",2005,3
"2346","6C","<5 years",2006,9
"2347","6C","<5 years",2007,9
"2348","6C","<5 years",2008,4
"2349","6C","<5 years",2009,10
"2350","6C","<5 years",2010,8
"2351","6C","<5 years",2011,8
"2352","6C","<5 years",2012,5
"2353","6C","<5 years",2018,2
"2354","6C","<5 years",2022,1
"2355","6C","5-49 years",1999,2
"2356","6C","5-49 years",2000,7
"2357","6C","5-49 years",2001,5
"2358","6C","5-49 years",2002,7
"2359","6C","5-49 years",2003,9
"2360","6C","5-49 years",2004,17
"2361","6C","5-49 years",2005,14
"2362","6C","5-49 years",2006,23
"2363","6C","5-49 years",2007,31
"2364","6C","5-49 years",2008,29
"2365","6C","5-49 years",2009,38
"2366","6C","5-49 years",2010,44
"2367","6C","5-49 years",2011,32
"2368","6C","5-49 years",2012,26
"2369","6C","5-49 years",2013,24
"2370","6C","5-49 years",2014,10
"2371","6C","5-49 years",2015,17
"2372","6C","5-49 years",2016,15
"2373","6C","5-49 years",2017,16
"2374","6C","5-49 years",2018,19
"2375","6C","5-49 years",2019,16
"2376","6C","5-49 years",2020,3
"2377","6C","5-49 years",2021,10
"2378","6C","5-49 years",2022,14
"2379","6C","50+ years",1999,23
"2380","6C","50+ years",2000,19
"2381","6C","50+ years",2001,11
"2382","6C","50+ years",2002,27
"2383","6C","50+ years",2003,41
"2384","6C","50+ years",2004,36
"2385","6C","50+ years",2005,48
"2386","6C","50+ years",2006,88
"2387","6C","50+ years",2007,87
"2388","6C","50+ years",2008,114
"2389","6C","50+ years",2009,130
"2390","6C","50+ years",2010,147
"2391","6C","50+ years",2011,155
"2392","6C","50+ years",2012,128
"2393","6C","50+ years",2013,122
"2394","6C","50+ years",2014,103
"2395","6C","50+ years",2015,81
"2396","6C","50+ years",2016,62
"2397","6C","50+ years",2017,59
"2398","6C","50+ years",2018,68
"2399","6C","50+ years",2019,47
"2400","6C","50+ years",2020,24
"2401","6C","50+ years",2021,18
"2402","6C","50+ years",2022,22
"2403","6D","5-49 years",2011,1
"2404","6D","50+ years",2010,1
"2405","6D","50+ years",2011,1
"2406","6D","50+ years",2013,1
"2407","6D","50+ years",2014,2
"2408","6D","50+ years",2016,1
"2409","6D","50+ years",2017,1
"2410","7A","5-49 years",2000,1
"2411","7A","5-49 years",2001,1
"2412","7A","5-49 years",2012,1
"2413","7A","50+ years",1998,1
"2414","7A","50+ years",1999,1
"2415","7A","50+ years",2001,1
"2416","7A","50+ years",2009,1
"2417","7B","5-49 years",2000,1
"2418","7B","50+ years",1999,1
"2419","7B","50+ years",2013,1
"2420","7B","50+ years",2016,1
"2421","7C","<5 years",2002,3
"2422","7C","<5 years",2004,1
"2423","7C","<5 years",2005,2
"2424","7C","<5 years",2006,3
"2425","7C","<5 years",2007,3
"2426","7C","<5 years",2008,1
"2427","7C","<5 years",2010,2
"2428","7C","<5 years",2011,2
"2429","7C","<5 years",2012,1
"2430","7C","<5 years",2013,1
"2431","7C","<5 years",2014,1
"2432","7C","<5 years",2015,1
"2433","7C","<5 years",2016,2
"2434","7C","<5 years",2017,3
"2435","7C","<5 years",2018,6
"2436","7C","<5 years",2020,2
"2437","7C","<5 years",2021,1
"2438","7C","<5 years",2022,4
"2439","7C","5-49 years",1999,3
"2440","7C","5-49 years",2000,1
"2441","7C","5-49 years",2001,5
"2442","7C","5-49 years",2002,3
"2443","7C","5-49 years",2003,2
"2444","7C","5-49 years",2004,3
"2445","7C","5-49 years",2005,5
"2446","7C","5-49 years",2006,4
"2447","7C","5-49 years",2007,5
"2448","7C","5-49 years",2008,13
"2449","7C","5-49 years",2009,14
"2450","7C","5-49 years",2010,5
"2451","7C","5-49 years",2011,5
"2452","7C","5-49 years",2012,12
"2453","7C","5-49 years",2013,9
"2454","7C","5-49 years",2014,12
"2455","7C","5-49 years",2015,10
"2456","7C","5-49 years",2016,9
"2457","7C","5-49 years",2017,15
"2458","7C","5-49 years",2018,10
"2459","7C","5-49 years",2019,12
"2460","7C","5-49 years",2020,9
"2461","7C","5-49 years",2021,10
"2462","7C","5-49 years",2022,11
"2463","7C","50+ years",1999,3
"2464","7C","50+ years",2001,3
"2465","7C","50+ years",2002,5
"2466","7C","50+ years",2003,15
"2467","7C","50+ years",2004,11
"2468","7C","50+ years",2005,18
"2469","7C","50+ years",2006,13
"2470","7C","50+ years",2007,23
"2471","7C","50+ years",2008,22
"2472","7C","50+ years",2009,20
"2473","7C","50+ years",2010,30
"2474","7C","50+ years",2011,29
"2475","7C","50+ years",2012,20
"2476","7C","50+ years",2013,38
"2477","7C","50+ years",2014,39
"2478","7C","50+ years",2015,42
"2479","7C","50+ years",2016,38
"2480","7C","50+ years",2017,48
"2481","7C","50+ years",2018,41
"2482","7C","50+ years",2019,34
"2483","7C","50+ years",2020,27
"2484","7C","50+ years",2021,27
"2485","7C","50+ years",2022,46
"2486","7F","<5 years",1998,5
"2487","7F","<5 years",1999,8
"2488","7F","<5 years",2000,3
"2489","7F","<5 years",2001,16
"2490","7F","<5 years",2002,14
"2491","7F","<5 years",2003,20
"2492","7F","<5 years",2004,15
"2493","7F","<5 years",2005,33
"2494","7F","<5 years",2006,27
"2495","7F","<5 years",2007,59
"2496","7F","<5 years",2008,55
"2497","7F","<5 years",2009,71
"2498","7F","<5 years",2010,61
"2499","7F","<5 years",2011,13
"2500","7F","<5 years",2012,3
"2501","7F","<5 years",2013,2
"2502","7F","<5 years",2014,1
"2503","7F","5-49 years",1998,49
"2504","7F","5-49 years",1999,38
"2505","7F","5-49 years",2000,38
"2506","7F","5-49 years",2001,45
"2507","7F","5-49 years",2002,60
"2508","7F","5-49 years",2003,51
"2509","7F","5-49 years",2004,42
"2510","7F","5-49 years",2005,79
"2511","7F","5-49 years",2006,135
"2512","7F","5-49 years",2007,169
"2513","7F","5-49 years",2008,257
"2514","7F","5-49 years",2009,296
"2515","7F","5-49 years",2010,229
"2516","7F","5-49 years",2011,162
"2517","7F","5-49 years",2012,77
"2518","7F","5-49 years",2013,54
"2519","7F","5-49 years",2014,31
"2520","7F","5-49 years",2015,21
"2521","7F","5-49 years",2016,21
"2522","7F","5-49 years",2017,18
"2523","7F","5-49 years",2018,12
"2524","7F","5-49 years",2019,6
"2525","7F","5-49 years",2020,8
"2526","7F","5-49 years",2022,8
"2527","7F","50+ years",1998,46
"2528","7F","50+ years",1999,41
"2529","7F","50+ years",2000,41
"2530","7F","50+ years",2001,34
"2531","7F","50+ years",2002,39
"2532","7F","50+ years",2003,47
"2533","7F","50+ years",2004,70
"2534","7F","50+ years",2005,86
"2535","7F","50+ years",2006,144
"2536","7F","50+ years",2007,204
"2537","7F","50+ years",2008,292
"2538","7F","50+ years",2009,327
"2539","7F","50+ years",2010,301
"2540","7F","50+ years",2011,221
"2541","7F","50+ years",2012,114
"2542","7F","50+ years",2013,80
"2543","7F","50+ years",2014,37
"2544","7F","50+ years",2015,29
"2545","7F","50+ years",2016,18
"2546","7F","50+ years",2017,28
"2547","7F","50+ years",2018,24
"2548","7F","50+ years",2019,11
"2549","7F","50+ years",2020,8
"2550","7F","50+ years",2021,3
"2551","7F","50+ years",2022,5
"2552","8","<5 years",2000,3
"2553","8","<5 years",2001,2
"2554","8","<5 years",2003,3
"2555","8","<5 years",2004,2
"2556","8","<5 years",2005,1
"2557","8","<5 years",2008,3
"2558","8","<5 years",2009,4
"2559","8","<5 years",2010,2
"2560","8","<5 years",2011,4
"2561","8","<5 years",2012,4
"2562","8","<5 years",2013,3
"2563","8","<5 years",2014,1
"2564","8","<5 years",2015,2
"2565","8","<5 years",2018,1
"2566","8","<5 years",2019,2
"2567","8","<5 years",2020,3
"2568","8","<5 years",2021,2
"2569","8","<5 years",2022,1
"2570","8","5-49 years",1998,20
"2571","8","5-49 years",1999,14
"2572","8","5-49 years",2000,17
"2573","8","5-49 years",2001,26
"2574","8","5-49 years",2002,23
"2575","8","5-49 years",2003,34
"2576","8","5-49 years",2004,34
"2577","8","5-49 years",2005,26
"2578","8","5-49 years",2006,39
"2579","8","5-49 years",2007,27
"2580","8","5-49 years",2008,31
"2581","8","5-49 years",2009,38
"2582","8","5-49 years",2010,28
"2583","8","5-49 years",2011,37
"2584","8","5-49 years",2012,28
"2585","8","5-49 years",2013,47
"2586","8","5-49 years",2014,38
"2587","8","5-49 years",2015,36
"2588","8","5-49 years",2016,45
"2589","8","5-49 years",2017,44
"2590","8","5-49 years",2018,39
"2591","8","5-49 years",2019,49
"2592","8","5-49 years",2020,14
"2593","8","5-49 years",2021,14
"2594","8","5-49 years",2022,34
"2595","8","50+ years",1998,17
"2596","8","50+ years",1999,12
"2597","8","50+ years",2000,24
"2598","8","50+ years",2001,12
"2599","8","50+ years",2002,25
"2600","8","50+ years",2003,24
"2601","8","50+ years",2004,41
"2602","8","50+ years",2005,42
"2603","8","50+ years",2006,39
"2604","8","50+ years",2007,46
"2605","8","50+ years",2008,46
"2606","8","50+ years",2009,42
"2607","8","50+ years",2010,46
"2608","8","50+ years",2011,58
"2609","8","50+ years",2012,59
"2610","8","50+ years",2013,84
"2611","8","50+ years",2014,78
"2612","8","50+ years",2015,67
"2613","8","50+ years",2016,76
"2614","8","50+ years",2017,99
"2615","8","50+ years",2018,80
"2616","8","50+ years",2019,78
"2617","8","50+ years",2020,31
"2618","8","50+ years",2021,24
"2619","8","50+ years",2022,45
"2620","9A","<5 years",1998,11
"2621","9A","<5 years",1999,12
"2622","9A","<5 years",2000,3
"2623","9A","<5 years",2001,5
"2624","9A","5-49 years",1998,9
"2625","9A","5-49 years",1999,9
"2626","9A","5-49 years",2000,4
"2627","9A","5-49 years",2001,5
"2628","9A","5-49 years",2002,10
"2629","9A","5-49 years",2003,1
"2630","9A","5-49 years",2004,1
"2631","9A","5-49 years",2007,1
"2632","9A","50+ years",1998,14
"2633","9A","50+ years",1999,14
"2634","9A","50+ years",2000,9
"2635","9A","50+ years",2001,12
"2636","9A","50+ years",2002,17
"2637","9A","50+ years",2003,3
"2638","9A","50+ years",2006,1
"2639","9A","50+ years",2007,1
"2640","9L","<5 years",1998,1
"2641","9L","<5 years",1999,1
"2642","9L","<5 years",2000,2
"2643","9L","5-49 years",2000,1
"2644","9L","5-49 years",2012,1
"2645","9L","50+ years",1998,1
"2646","9L","50+ years",1999,2
"2647","9L","50+ years",2017,2
"2648","9L","50+ years",2018,1
"2649","9L","50+ years",2019,1
"2650","9N","<5 years",1998,4
"2651","9N","<5 years",1999,2
"2652","9N","<5 years",2000,3
"2653","9N","<5 years",2001,3
"2654","9N","<5 years",2002,1
"2655","9N","<5 years",2003,1
"2656","9N","<5 years",2005,2
"2657","9N","<5 years",2006,3
"2658","9N","<5 years",2008,2
"2659","9N","<5 years",2009,4
"2660","9N","<5 years",2010,2
"2661","9N","<5 years",2011,6
"2662","9N","<5 years",2012,2
"2663","9N","<5 years",2014,3
"2664","9N","<5 years",2015,3
"2665","9N","<5 years",2016,3
"2666","9N","<5 years",2017,3
"2667","9N","<5 years",2018,2
"2668","9N","<5 years",2021,4
"2669","9N","5-49 years",1998,30
"2670","9N","5-49 years",1999,27
"2671","9N","5-49 years",2000,21
"2672","9N","5-49 years",2001,20
"2673","9N","5-49 years",2002,20
"2674","9N","5-49 years",2003,28
"2675","9N","5-49 years",2004,22
"2676","9N","5-49 years",2005,35
"2677","9N","5-49 years",2006,29
"2678","9N","5-49 years",2007,34
"2679","9N","5-49 years",2008,26
"2680","9N","5-49 years",2009,35
"2681","9N","5-49 years",2010,41
"2682","9N","5-49 years",2011,31
"2683","9N","5-49 years",2012,22
"2684","9N","5-49 years",2013,33
"2685","9N","5-49 years",2014,41
"2686","9N","5-49 years",2015,33
"2687","9N","5-49 years",2016,36
"2688","9N","5-49 years",2017,36
"2689","9N","5-49 years",2018,62
"2690","9N","5-49 years",2019,49
"2691","9N","5-49 years",2020,42
"2692","9N","5-49 years",2021,34
"2693","9N","5-49 years",2022,52
"2694","9N","50+ years",1998,24
"2695","9N","50+ years",1999,20
"2696","9N","50+ years",2000,30
"2697","9N","50+ years",2001,24
"2698","9N","50+ years",2002,27
"2699","9N","50+ years",2003,34
"2700","9N","50+ years",2004,19
"2701","9N","50+ years",2005,31
"2702","9N","50+ years",2006,34
"2703","9N","50+ years",2007,53
"2704","9N","50+ years",2008,61
"2705","9N","50+ years",2009,62
"2706","9N","50+ years",2010,84
"2707","9N","50+ years",2011,74
"2708","9N","50+ years",2012,93
"2709","9N","50+ years",2013,93
"2710","9N","50+ years",2014,78
"2711","9N","50+ years",2015,76
"2712","9N","50+ years",2016,114
"2713","9N","50+ years",2017,111
"2714","9N","50+ years",2018,130
"2715","9N","50+ years",2019,109
"2716","9N","50+ years",2020,75
"2717","9N","50+ years",2021,83
"2718","9N","50+ years",2022,107
"2719","9V","<5 years",1998,55
"2720","9V","<5 years",1999,61
"2721","9V","<5 years",2000,40
"2722","9V","<5 years",2001,33
"2723","9V","<5 years",2002,10
"2724","9V","<5 years",2003,5
"2725","9V","<5 years",2004,1
"2726","9V","<5 years",2005,1
"2727","9V","<5 years",2006,2
"2728","9V","<5 years",2009,2
"2729","9V","5-49 years",1998,122
"2730","9V","5-49 years",1999,110
"2731","9V","5-49 years",2000,108
"2732","9V","5-49 years",2001,88
"2733","9V","5-49 years",2002,62
"2734","9V","5-49 years",2003,51
"2735","9V","5-49 years",2004,35
"2736","9V","5-49 years",2005,24
"2737","9V","5-49 years",2006,22
"2738","9V","5-49 years",2007,11
"2739","9V","5-49 years",2008,11
"2740","9V","5-49 years",2009,11
"2741","9V","5-49 years",2010,7
"2742","9V","5-49 years",2011,6
"2743","9V","5-49 years",2012,1
"2744","9V","5-49 years",2013,1
"2745","9V","5-49 years",2014,2
"2746","9V","5-49 years",2015,2
"2747","9V","5-49 years",2016,1
"2748","9V","5-49 years",2017,1
"2749","9V","5-49 years",2018,1
"2750","9V","5-49 years",2020,1
"2751","9V","5-49 years",2021,2
"2752","9V","50+ years",1998,138
"2753","9V","50+ years",1999,151
"2754","9V","50+ years",2000,136
"2755","9V","50+ years",2001,135
"2756","9V","50+ years",2002,104
"2757","9V","50+ years",2003,80
"2758","9V","50+ years",2004,68
"2759","9V","50+ years",2005,52
"2760","9V","50+ years",2006,38
"2761","9V","50+ years",2007,24
"2762","9V","50+ years",2008,20
"2763","9V","50+ years",2009,11
"2764","9V","50+ years",2010,12
"2765","9V","50+ years",2011,5
"2766","9V","50+ years",2012,7
"2767","9V","50+ years",2013,4
"2768","9V","50+ years",2014,4
"2769","9V","50+ years",2015,4
"2770","9V","50+ years",2016,2
"2771","9V","50+ years",2017,7
"2772","9V","50+ years",2018,3
"2773","9V","50+ years",2019,2
"2774","9V","50+ years",2020,2
"2775","9V","50+ years",2021,2
"2776","9V","50+ years",2022,1
"2777","MISS","<5 years",1998,181
"2778","MISS","<5 years",1999,186
"2779","MISS","<5 years",2000,151
"2780","MISS","<5 years",2001,97
"2781","MISS","<5 years",2002,64
"2782","MISS","<5 years",2003,49
"2783","MISS","<5 years",2004,70
"2784","MISS","<5 years",2005,76
"2785","MISS","<5 years",2006,64
"2786","MISS","<5 years",2007,61
"2787","MISS","<5 years",2008,75
"2788","MISS","<5 years",2009,53
"2789","MISS","<5 years",2010,44
"2790","MISS","<5 years",2011,23
"2791","MISS","<5 years",2012,16
"2792","MISS","<5 years",2013,23
"2793","MISS","<5 years",2014,22
"2794","MISS","<5 years",2015,36
"2795","MISS","<5 years",2016,32
"2796","MISS","<5 years",2017,21
"2797","MISS","<5 years",2018,14
"2798","MISS","<5 years",2019,15
"2799","MISS","<5 years",2020,5
"2800","MISS","<5 years",2021,14
"2801","MISS","<5 years",2022,33
"2802","MISS","5-49 years",1998,144
"2803","MISS","5-49 years",1999,150
"2804","MISS","5-49 years",2000,129
"2805","MISS","5-49 years",2001,123
"2806","MISS","5-49 years",2002,124
"2807","MISS","5-49 years",2003,113
"2808","MISS","5-49 years",2004,157
"2809","MISS","5-49 years",2005,167
"2810","MISS","5-49 years",2006,133
"2811","MISS","5-49 years",2007,142
"2812","MISS","5-49 years",2008,166
"2813","MISS","5-49 years",2009,116
"2814","MISS","5-49 years",2010,89
"2815","MISS","5-49 years",2011,77
"2816","MISS","5-49 years",2012,64
"2817","MISS","5-49 years",2013,62
"2818","MISS","5-49 years",2014,68
"2819","MISS","5-49 years",2015,74
"2820","MISS","5-49 years",2016,55
"2821","MISS","5-49 years",2017,78
"2822","MISS","5-49 years",2018,104
"2823","MISS","5-49 years",2019,97
"2824","MISS","5-49 years",2020,74
"2825","MISS","5-49 years",2021,103
"2826","MISS","5-49 years",2022,144
"2827","MISS","50+ years",1998,235
"2828","MISS","50+ years",1999,233
"2829","MISS","50+ years",2000,211
"2830","MISS","50+ years",2001,207
"2831","MISS","50+ years",2002,218
"2832","MISS","50+ years",2003,220
"2833","MISS","50+ years",2004,270
"2834","MISS","50+ years",2005,269
"2835","MISS","50+ years",2006,263
"2836","MISS","50+ years",2007,287
"2837","MISS","50+ years",2008,290
"2838","MISS","50+ years",2009,266
"2839","MISS","50+ years",2010,234
"2840","MISS","50+ years",2011,214
"2841","MISS","50+ years",2012,171
"2842","MISS","50+ years",2013,197
"2843","MISS","50+ years",2014,174
"2844","MISS","50+ years",2015,217
"2845","MISS","50+ years",2016,208
"2846","MISS","50+ years",2017,222
"2847","MISS","50+ years",2018,257
"2848","MISS","50+ years",2019,249
"2849","MISS","50+ years",2020,219
"2850","MISS","50+ years",2021,288
"2851","MISS","50+ years",2022,313
"2852","NT","<5 years",1998,4
"2853","NT","<5 years",1999,3
"2854","NT","<5 years",2000,2
"2855","NT","<5 years",2001,2
"2856","NT","<5 years",2002,3
"2857","NT","<5 years",2003,4
"2858","NT","<5 years",2004,2
"2859","NT","<5 years",2005,1
"2860","NT","<5 years",2006,4
"2861","NT","<5 years",2007,4
"2862","NT","<5 years",2008,3
"2863","NT","<5 years",2010,5
"2864","NT","<5 years",2011,2
"2865","NT","<5 years",2012,1
"2866","NT","<5 years",2016,1
"2867","NT","<5 years",2017,1
"2868","NT","<5 years",2019,1
"2869","NT","<5 years",2020,1
"2870","NT","<5 years",2021,2
"2871","NT","5-49 years",1998,1
"2872","NT","5-49 years",1999,7
"2873","NT","5-49 years",2000,1
"2874","NT","5-49 years",2001,9
"2875","NT","5-49 years",2002,12
"2876","NT","5-49 years",2003,11
"2877","NT","5-49 years",2004,7
"2878","NT","5-49 years",2005,10
"2879","NT","5-49 years",2006,10
"2880","NT","5-49 years",2007,6
"2881","NT","5-49 years",2008,7
"2882","NT","5-49 years",2009,6
"2883","NT","5-49 years",2010,2
"2884","NT","5-49 years",2011,8
"2885","NT","5-49 years",2012,3
"2886","NT","5-49 years",2013,2
"2887","NT","5-49 years",2014,1
"2888","NT","5-49 years",2017,1
"2889","NT","5-49 years",2020,1
"2890","NT","50+ years",1998,7
"2891","NT","50+ years",1999,3
"2892","NT","50+ years",2000,4
"2893","NT","50+ years",2001,9
"2894","NT","50+ years",2002,7
"2895","NT","50+ years",2003,8
"2896","NT","50+ years",2004,9
"2897","NT","50+ years",2005,15
"2898","NT","50+ years",2006,19
"2899","NT","50+ years",2007,13
"2900","NT","50+ years",2008,8
"2901","NT","50+ years",2009,10
"2902","NT","50+ years",2010,21
"2903","NT","50+ years",2011,14
"2904","NT","50+ years",2012,12
"2905","NT","50+ years",2013,4
"2906","NT","50+ years",2014,3
"2907","NT","50+ years",2015,1
"2908","NT","50+ years",2017,2
"2909","NT","50+ years",2018,7
"2910","NT","50+ years",2019,7
"2911","NT","50+ years",2020,3
"2912","NT","50+ years",2021,3
"2913","NT","50+ years",2022,1
