"","st","year","N_IPD","N_IPD_pre","logRR"
"986","NT",2008,18,12.5,0.341749293722057
"987","NT",2009,16,12.5,0.230523658611832
"988","NT",2010,28,12.5,0.76460614454209
"989","NT",2011,24,12.5,0.616186139423817
"990","NT",2012,16,12.5,0.230523658611832
"991","NT",2013,6,12.5,-0.65677953638907
"992","NT",2014,4,12.5,-0.993251773010283
"993","NT",2015,1,12.5,-1.90954250488444
"994","NT",2016,1,12.5,-1.90954250488444
"995","NT",2017,4,12.5,-0.993251773010283
"996","NT",2018,7,12.5,-0.523248143764548
"997","NT",2019,8,12.5,-0.405465108108164
"998","NT",2020,5,12.5,-0.810930216216329
"999","NT",2021,5,12.5,-0.810930216216329
"1000","NT",2022,1,12.5,-1.90954250488444
